,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,1,Shaquille O'Neal,27,LAL,120.0,1207.0,1210,0.998,79,40.0,29.7,13.6,3.8,0.5,3.0,0.574,0.0,0.524,18.6,0.28300000000000003
1,2,Kevin Garnett,23,MIN,0.0,408.0,1210,0.337,81,40.0,22.9,11.8,5.0,1.5,1.6,0.49700000000000005,0.37,0.765,11.6,0.172
2,3,Alonzo Mourning,29,MIA,0.0,367.0,1210,0.303,79,34.8,21.7,9.5,1.6,0.5,3.7,0.551,0.0,0.711,12.9,0.226
3,4,Karl Malone,36,UTA,0.0,312.0,1210,0.258,82,35.9,25.5,9.5,3.7,1.0,0.9,0.509,0.25,0.797,15.3,0.249
4,5,Tim Duncan,23,SAS,0.0,248.0,1210,0.205,74,38.9,23.2,12.4,3.2,0.9,2.2,0.49,0.091,0.7609999999999999,13.0,0.218
5,6,Gary Payton,31,SEA,0.0,180.0,1210,0.149,82,41.8,24.2,6.5,8.9,1.9,0.2,0.44799999999999995,0.34,0.735,13.9,0.195
6,7,Allen Iverson,24,PHI,1.0,132.0,1210,0.109,70,40.8,28.4,3.8,4.7,2.1,0.1,0.42100000000000004,0.341,0.713,6.9,0.11599999999999999
7,8,Grant Hill,27,DET,0.0,113.0,1210,0.09300000000000001,74,37.5,25.8,6.6,5.2,1.4,0.6,0.489,0.34700000000000003,0.795,10.7,0.185
8,9,Chris Webber,26,SAC,0.0,96.0,1210,0.079,75,38.4,24.5,10.5,4.6,1.6,1.7,0.483,0.284,0.7509999999999999,10.7,0.179
9,10,Vince Carter,23,TOR,0.0,51.0,1210,0.042,82,38.1,25.7,5.8,3.9,1.3,1.1,0.465,0.40299999999999997,0.7909999999999999,11.8,0.182
10,11,Jason Kidd,26,PHO,0.0,25.0,1210,0.021,67,39.0,14.3,7.2,10.1,2.0,0.4,0.409,0.337,0.8290000000000001,8.5,0.156
11,12,Kobe Bryant,21,LAL,0.0,3.0,1210,0.002,66,38.2,22.5,6.3,4.9,1.6,0.9,0.46799999999999997,0.319,0.821,10.6,0.20199999999999999
12,13T,Darrell Armstrong,31,ORL,0.0,1.0,1210,0.001,82,31.6,16.2,3.3,6.1,2.1,0.1,0.433,0.34,0.9109999999999999,8.0,0.149
13,13T,Michael Finley,26,DAL,0.0,1.0,1210,0.001,82,42.2,22.6,6.3,5.3,1.3,0.4,0.457,0.401,0.82,8.3,0.114
14,13T,Reggie Miller,34,IND,0.0,1.0,1210,0.001,81,36.9,18.1,3.0,2.3,1.0,0.3,0.44799999999999995,0.408,0.919,10.1,0.162
15,13T,Jalen Rose,27,IND,0.0,1.0,1210,0.001,80,37.2,18.2,4.8,4.0,1.1,0.6,0.47100000000000003,0.39299999999999996,0.8270000000000001,7.3,0.11800000000000001
