,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,1,Tim Duncan,26,SAS,60.0,962.0,1190,0.8079999999999999,81,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248
1,2,Kevin Garnett,26,MIN,43.0,871.0,1190,0.732,82,40.5,23.0,13.4,6.0,1.4,1.6,0.502,0.282,0.7509999999999999,15.6,0.225
2,3,Kobe Bryant,24,LAL,8.0,496.0,1190,0.41700000000000004,82,41.5,30.0,6.9,5.9,2.2,0.8,0.451,0.38299999999999995,0.843,14.9,0.21
3,4,Tracy McGrady,23,ORL,4.0,427.0,1190,0.359,75,39.4,32.1,6.5,5.5,1.7,0.8,0.457,0.386,0.7929999999999999,16.1,0.262
4,5,Shaquille O'Neal,30,LAL,3.0,126.0,1190,0.106,67,37.8,27.5,11.1,3.1,0.6,2.4,0.574,,0.622,13.2,0.25
5,6,Allen Iverson,27,PHI,0.0,83.0,1190,0.07,82,42.5,27.6,4.2,5.5,2.7,0.2,0.414,0.27699999999999997,0.774,9.2,0.127
6,7,Dirk Nowitzki,24,DAL,0.0,43.0,1190,0.036000000000000004,80,39.0,25.1,9.9,3.0,1.4,1.0,0.46299999999999997,0.379,0.8809999999999999,16.1,0.249
7,8,Ben Wallace,28,DET,1.0,33.0,1190,0.027999999999999997,73,39.4,6.9,15.4,1.6,1.4,3.2,0.48100000000000004,0.16699999999999998,0.45,10.6,0.17600000000000002
8,9,Jason Kidd,29,NJN,0.0,31.0,1190,0.026000000000000002,80,37.4,18.7,6.3,8.9,2.2,0.3,0.414,0.341,0.841,11.3,0.182
9,10,Chris Webber,29,SAC,0.0,19.0,1190,0.016,67,39.1,23.0,10.5,5.4,1.6,1.3,0.461,0.23800000000000002,0.607,6.9,0.127
10,11T,Jamal Mashburn,30,NOH,0.0,1.0,1190,0.001,82,40.5,21.6,6.1,5.6,1.0,0.2,0.42200000000000004,0.389,0.848,9.0,0.13
11,11T,Steve Nash,28,DAL,0.0,1.0,1190,0.001,82,33.1,17.7,2.9,7.3,1.0,0.1,0.465,0.413,0.909,11.6,0.20600000000000002
12,11T,Paul Pierce,25,BOS,0.0,1.0,1190,0.001,79,39.2,25.9,7.3,4.4,1.8,0.8,0.41600000000000004,0.302,0.802,10.1,0.157
