,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,1,Tim Duncan,25,SAS,57.0,954.0,1260,0.757,82,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257
1,2,Jason Kidd,28,NJN,45.0,897.0,1260,0.7120000000000001,82,37.3,14.7,7.3,9.9,2.1,0.2,0.391,0.321,0.8140000000000001,8.9,0.14
2,3,Shaquille O'Neal,29,LAL,15.0,696.0,1260,0.552,67,36.1,27.2,10.7,3.0,0.6,2.0,0.579,0.0,0.555,13.2,0.262
3,4,Tracy McGrady,22,ORL,7.0,390.0,1260,0.31,76,38.3,25.6,7.9,5.3,1.6,1.0,0.451,0.364,0.748,11.5,0.18899999999999997
4,5,Kobe Bryant,23,LAL,1.0,98.0,1260,0.078,80,38.3,25.2,5.5,5.5,1.5,0.4,0.469,0.25,0.8290000000000001,12.7,0.19899999999999998
5,6,Gary Payton,33,SEA,1.0,54.0,1260,0.043,82,40.3,22.1,4.8,9.0,1.6,0.3,0.467,0.314,0.797,12.6,0.183
6,7,Chris Webber,28,SAC,0.0,37.0,1260,0.028999999999999998,54,38.4,24.5,10.1,4.8,1.7,1.4,0.495,0.263,0.7490000000000001,8.6,0.2
7,8,Dirk Nowitzki,23,DAL,0.0,31.0,1260,0.025,76,38.0,23.4,9.9,2.4,1.1,1.0,0.47700000000000004,0.397,0.853,13.4,0.222
8,9,Allen Iverson,26,PHI,0.0,29.0,1260,0.023,60,43.7,31.4,4.5,5.5,2.8,0.2,0.39799999999999996,0.29100000000000004,0.812,6.9,0.126
9,10,Ben Wallace,27,DET,0.0,24.0,1260,0.019,80,36.5,7.6,13.0,1.4,1.7,3.5,0.531,0.0,0.423,11.6,0.19
10,11,Paul Pierce,24,BOS,0.0,22.0,1260,0.017,82,40.3,26.1,6.9,3.2,1.9,1.0,0.442,0.40399999999999997,0.809,12.9,0.187
11,12,Kevin Garnett,25,MIN,0.0,17.0,1260,0.013000000000000001,81,39.2,21.2,12.1,5.2,1.2,1.6,0.47,0.319,0.8009999999999999,12.8,0.19399999999999998
12,13,Michael Jordan,38,WAS,0.0,16.0,1260,0.013000000000000001,60,34.9,22.9,5.7,5.2,1.4,0.4,0.41600000000000004,0.18899999999999997,0.79,3.3,0.075
13,14,Steve Nash,27,DAL,0.0,5.0,1260,0.004,82,34.6,17.9,3.1,7.7,0.6,0.0,0.483,0.455,0.887,9.9,0.16699999999999998
14,15,Jerry Stackhouse,27,DET,0.0,3.0,1260,0.002,76,35.3,21.4,4.1,5.3,1.0,0.5,0.397,0.287,0.858,5.8,0.10400000000000001
15,16T,Mike Bibby,23,SAC,0.0,1.0,1260,0.001,80,33.2,13.7,2.8,5.0,1.1,0.2,0.45299999999999996,0.37,0.8029999999999999,6.3,0.113
16,16T,Elton Brand,22,LAC,0.0,1.0,1260,0.001,80,37.8,18.2,11.6,2.4,1.0,2.0,0.527,,0.742,13.6,0.21600000000000003
17,16T,Peja Stojaković,24,SAC,0.0,1.0,1260,0.001,71,37.3,21.2,5.3,2.5,1.1,0.2,0.484,0.41600000000000004,0.8759999999999999,9.9,0.179
