,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,1,Michael Jordan,32,CHI,109.0,1114.0,1130,0.986,82,37.7,30.4,6.6,4.3,2.2,0.5,0.495,0.42700000000000005,0.8340000000000001,20.4,0.317
1,2,David Robinson,30,SAS,0.0,574.0,1130,0.508,82,36.8,25.0,12.2,3.0,1.4,3.3,0.516,0.33299999999999996,0.7609999999999999,18.3,0.29
2,3,Anfernee Hardaway,24,ORL,2.0,360.0,1130,0.319,82,36.8,21.7,4.3,7.1,2.0,0.5,0.513,0.314,0.767,14.4,0.22899999999999998
3,4,Hakeem Olajuwon,33,HOU,1.0,238.0,1130,0.21100000000000002,72,38.8,26.9,10.9,3.6,1.6,2.9,0.514,0.214,0.7240000000000001,9.7,0.166
4,5,Scottie Pippen,30,CHI,0.0,226.0,1130,0.2,77,36.7,19.4,6.4,5.9,1.7,0.7,0.46299999999999997,0.374,0.679,12.3,0.209
5,6,Gary Payton,27,SEA,0.0,98.0,1130,0.087,81,39.0,19.3,4.2,7.5,2.9,0.2,0.484,0.32799999999999996,0.748,11.5,0.174
6,7,Karl Malone,32,UTA,1.0,85.0,1130,0.075,82,38.0,25.7,9.8,4.2,1.7,0.7,0.519,0.4,0.723,15.1,0.233
7,8,Shawn Kemp,26,SEA,0.0,73.0,1130,0.065,79,33.3,19.6,11.4,2.2,1.2,1.6,0.561,0.41700000000000004,0.742,11.2,0.205
8,9T,Grant Hill,23,DET,0.0,63.0,1130,0.055999999999999994,80,40.8,20.2,9.8,6.9,1.3,0.6,0.462,0.192,0.7509999999999999,11.7,0.172
9,9T,Shaquille O'Neal,23,ORL,0.0,63.0,1130,0.055999999999999994,54,36.0,26.6,11.0,2.9,0.6,2.1,0.573,0.5,0.48700000000000004,6.9,0.171
10,11,John Stockton,33,UTA,0.0,12.0,1130,0.011000000000000001,82,35.5,14.7,2.8,11.2,1.7,0.2,0.5379999999999999,0.42200000000000004,0.83,13.0,0.214
11,12T,Charles Barkley,32,PHO,0.0,8.0,1130,0.006999999999999999,71,37.1,23.2,11.6,3.7,1.6,0.8,0.5,0.28,0.777,10.5,0.191
12,12T,Magic Johnson,36,LAL,0.0,8.0,1130,0.006999999999999999,32,29.9,14.6,5.7,6.9,0.8,0.4,0.466,0.379,0.856,3.6,0.18100000000000002
13,14,Alonzo Mourning,25,MIA,0.0,6.0,1130,0.005,70,38.2,23.2,10.4,2.3,1.0,2.7,0.523,0.3,0.685,9.9,0.17800000000000002
14,15,Dennis Rodman,34,CHI,0.0,4.0,1130,0.004,64,32.6,5.5,14.9,2.5,0.6,0.4,0.48,0.111,0.528,6.2,0.14300000000000002
15,16T,Terrell Brandon,25,CLE,0.0,3.0,1130,0.003,75,34.3,19.3,3.3,6.5,1.8,0.4,0.465,0.387,0.887,12.7,0.237
16,16T,Mitch Richmond,30,SAC,0.0,3.0,1130,0.003,81,36.4,23.1,3.3,3.1,1.5,0.2,0.447,0.43700000000000006,0.866,9.3,0.151
